"Activity Name","Operation","actionId","User Name","Source IP","Role","Profile","Country","City","Activity Trust","Trusted For","Trust Reason","ASN","Account ID","IP Organization","Device Type","OS","Browser","Activity Timestamp","Processed Timestamp","Parent Service Name","CSP ID","Sub-Service Name","Instance","Number of Events","File/Report Name","File/Folder Path","File Size","File Type","File Owner","Last Modified","Directory?","Domain","Sharing Enabled?","URL","Report Details","Other Info","targetId","Proxy Type","Proxy Description","Network Type","Region","ASN Name","Device ID","Device Managed"
"FolderCreated","FolderCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:01:07:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","1518971466.65","https://shnyhddev05.sharepoint.com/Shared Documents","N/A","N/A","N/A","N/A","true","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"File accessed","FileAccessed","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:53:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","HjPkFA92T8YBd-Confidential.docx","https://shnyhddev05.sharepoint.com/Quarantine","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Quarantine/HjPkFA92T8YBd-Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"File renamed","FileRenamed","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:28:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"FileModifiedExtended","FileModifiedExtended","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:55:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"File modified","FileModified","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:26:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"FileVersionDeleted","FileVersionDeleted","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:55:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"File deleted","FileDeleted","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:55:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","HjPkFA92T8YBd-Confidential.docx","https://shnyhddev05.sharepoint.com/Quarantine","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Quarantine/HjPkFA92T8YBd-Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"File renamed","FileRenamed","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:28:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"File accessed","FileAccessed","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:53:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","HjPkFA92T8YBd-Confidential.docx","https://shnyhddev05.sharepoint.com/Quarantine","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Quarantine/HjPkFA92T8YBd-Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"FolderCreated","FolderCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:01:07:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","1518971466.65","https://shnyhddev05.sharepoint.com/Shared Documents","N/A","N/A","N/A","N/A","true","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 22:02:01:000Z","February 18,2018 22:02:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 22:02:01:000Z","February 18,2018 22:02:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"PageViewed","PageViewed","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:02:05:000Z","February 18,2018 22:02:00:000Z","Office365","2698","OneDrive","Default","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/_layouts/15/onedrive.aspx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"FolderCreated","FolderCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:02:06:000Z","February 18,2018 22:02:00:000Z","Office365","2698","OneDrive","Default","1","1518971526.16","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/../../Documents","N/A","N/A","N/A","N/A","true","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/Documents/1518971526.16","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 22:02:01:000Z","February 18,2018 22:02:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","2","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"PageViewed","PageViewed","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:02:05:000Z","February 18,2018 22:02:00:000Z","Office365","2698","OneDrive","Default","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/_layouts/15/onedrive.aspx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"FolderCreated","FolderCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:02:06:000Z","February 18,2018 22:02:00:000Z","Office365","2698","OneDrive","Default","1","1518971526.16","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/../../Documents","N/A","N/A","N/A","N/A","true","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/Documents/1518971526.16","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 22:02:01:000Z","February 18,2018 22:02:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 22:02:01:000Z","February 18,2018 22:02:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"User Logged in","UserLoggedIn","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 22:11:13:000Z","February 18,2018 22:11:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"User Logged in","UserLoggedIn","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 22:11:13:000Z","February 18,2018 22:11:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"File or folder shared","SharingSet","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:49:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","true","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"SharingInheritanceBroken","SharingInheritanceBroken","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:41:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"File or folder shared","SharingSet","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:48:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","true","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Group created","GroupAdded","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:40:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Anonymous link created","AnonymousLinkCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:50:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","true","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"File or folder shared","SharingSet","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:43:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","true","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"File or folder shared","SharingSet","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:49:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","true","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"FolderCreated","FolderCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:37:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","1518972697.25","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/../../Documents","N/A","N/A","N/A","N/A","true","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/Documents/1518972697.25","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"File or folder shared","SharingSet","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:48:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","true","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"FolderDeleted","FolderDeleted","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:36:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","1518886025.94","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents","N/A","N/A","N/A","N/A","true","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518886025.94","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Added to group","AddedToGroup","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:47:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Added to group","AddedToGroup","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:47:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"FolderCreated","FolderCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:37:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","1518972697.25","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/../../Documents","N/A","N/A","N/A","N/A","true","N/A","false","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/Documents/1518972697.25","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Anonymous link created","AnonymousLinkCreated","N/A","user2@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","Other","unknown","python-requests/2.10.0","February 18,2018 22:21:50:000Z","February 18,2018 22:21:00:000Z","Office365","2698","OneDrive","Default","1","Confidential.docx","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_comDocuments/1518972697.25/Confidential.docx","N/A","docx","N/A","N/A","false","N/A","true","N/A","N/A","N/A","https://shnyhddev05-my.sharepoint.com/personal/user2_shnyhddev05_onmicrosoft_com/Documents/1518972697.25/Confidential.docx","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
